CHAPTER 16  A86 RESERVED SYMBOLS
FIST     87 Instruction
FISTP    87 Instruction
FISUB    87 Instruction
FISUBR   87 Instruction

FLD      87 Instruction
FLD1     87 Instruction
FLDCW    87 Instruction
FLDENV   87 Instruction
FLDL2E   87 Instruction
FLDL2T   87 Instruction
FLDLG2   87 Instruction
FLDLN2   87 Instruction
FLDPI    87 Instruction
FLDZ     87 Instruction

FMUL     87 Instruction
FMULP    87 Instruction
FNCLEX   87 Instruction
FNDISI   87 Instruction
FNENI    87 Instruction
FNINIT   87 Instruction

FNOP     87 Instruction
FNSAVE   87 Instruction
FNSTCW   87 Instruction
FNSTENV  87 Instruction
FNSTSW   87 Instruction
FPATAN   87 Instruction
FPREM    87 Instruction
FPREM1   387 Instruction
FPTAN    87 Instruction
FRNDINT  87 Instruction
FRSTOR   87 Instruction
                                                             16-4

FSAVE    87 Instruction
FSCALE   87 Instruction
FSETPM   87 Instruction
FSIN     387 Instruction
FSINCOS  387 Instruction
FSQRT    87 Instruction
FST      87 Instruction
FSTCW    87 Instruction
FSTENV   87 Instruction
FSTP     87 Instruction
FSTSW    87 Instruction

FSUB     87 Instruction
FSUBP    87 Instruction
FSUBR    87 Instruction
FSUBRP   87 Instruction
FTST     87 Instruction
FUCOM    387 Instruction
FUCOMP   387 Instruction
FUCOMPP  387 Instruction
FWAIT    87 Instruction
FXAM     87 Instruction
FXCH     87 Instruction
FXTRACT  87 Instruction
FYL2X    87 Instruction
FYL2XP1  87 Instruction

GE       Greater/equal operator
GROUP    Group of segments
GT       Greater than operator

HIGH     High byte of word op
HLT      Halt

IDIV     Integer divide
IF       Skip/conditional term
IMUL     Integer multiply
IN       Input from port
INC      Increment
INCLUDE  Ignored, compatibility
INS      Input string
INSB     Input string byte
INSW     Input string word
INT      Interrupt
INTO     Interrupt on overflow
IRET     Interrupt return
                                                             16-5

JA       Jump on above
JAE      Jump above equal
JB       Jump on below
JBE      Jump below equal
JC       Jump on carry
JCXZ     Jump on CX zero
JE       Jump on equal
JG       Jump on greater
JGE      Jump greater equal
JL       Jump on less
JLE      Jump less equal

JMP      Jump unconditional
JNA      Jump not above
JNAE     Jump not above equal
JNB      Jump not below
JNBE     Jump not below equal
JNC      Jump not carry
JNE      Jump not equal
JNG      Jump not greater
JNGE     Jump not greater equ
JNL      Jump not less
JNLE     Jump not less equal
JNO      Jump not overflow
JNP      Jump not parity
JNS      Jump not sign
JNZ      Jump not zero

JO       Jump overflow
JP       Jump parity
JPE      Jump parity even
JPO      Jump parity odd
JS       Jump on sign
JZ       Jump on zero

L2E      Real constant
L2T      Real constant
LABEL    Declaration
LAHF     Load AH flags
LAR      286 Prot Instruction
LDS      Load into DS
LE       Less equal operator

LEA      Load eff address
LEAVE    Instruction
LES      Load into ES
LG2      Real constant
LGDT     286 Prot Instruction
LIDT     286 Prot Instruction
LLDT     286 Prot Instruction
LMSW     286 Prot Instruction
LN2      Real constant
                                                             16-6

LOCK     Instruction
LODBITS  NEC Instruction
LODS     Load string
LODSB    Load string byte
LODSW    Load string word
LONG     Operator

LOOP     Instruction
LOOPE    Loop on equal
LOOPNE   Loop not equal
LOOPNZ   Loop not zero
LOOPZ    Loop on zero
LOW      Operator
LSL      286 Prot Instruction
LT       Less than operator
LTR      286 Prot Instruction

MACRO    Directive
MAIN     Program strating label
MEMORY   Segment specifier
MOD      Operator
MOV      Instruction
MOVS     Move string
MOVSB    Move string byte
MOVSW    Move string word
MUL      Multiply

NAME     .OBJ module name
NE       Not equals operator
NEAR     Operator
NEG      Instruction
NIL      No code instruction
NOP      No operation
NOT      Instruction/operator
NOTBIT   NEC Instruction

OFFSET   Operator
OR       Instruction/operator
ORG      Directive
OUT      Output to port
OUTS     Output String
OUTSB    Output string byte
OUTSW    Output string word

PAGE     Ignored, compatibility
PARA     Segment specifier
PI       Real Constant
POP      Instruction
POPA     Pop all
POPF     Pop flags
PROC     Procedure Directive
PTR      Ignored, compatibility
PUBLIC   Ignored, compatibility
PUSH     Instruction
PUSHA    Push all
PUSHF    Push flags
                                                             16-7

Q        Qword specifier
QWORD    Memory specifier
RADIX    Directive
RCL      Rotate carry left
RCR      Rotate carry right
REP      Repeat prefix
REPC     NEC Instruction
REPE     Repeat while equal
REPNC    NEC Instruction
REPNE    Repeat not equal
REPNZ    Repeat while zero
REPZ     Repeat non zero

RET      Return
RETF     Far Return
ROL      Rotate left
ROL4     NEC Instruction
ROR      Rotate right
ROR4     NEC Instruction

SAHF     Store AH to flags
SAL      Shift arith left
SAR      Shift arith right
SBB      Subtract with borrow
SCAS     Scan string
SCASB    Scan string byte
SCASW    Scan string word
SEG      Operator
SEGMENT  Directive
SETBIT   NEC Instruction
SGDT     286 Prot Instruction

SHL      Instruction/operator
SHORT    Operator
SHR      Instruction/operator
SI       Word register
SIDT     286 Prot Instruction
SLDT     286 Prot Instruction
SMSW     286 Prot Instruction

SP       Word register
SS       Segment register
ST       EQU 0 for compatibility
STACK    Segment specifier
STC      Set carry
STD      Set direction
STI      Set interrupts

STOBITS  NEC Instruction
STOS     Store string
STOSB    Store string byte
STOSW    Store string word
STR      286 Prot Instruction
STRUC    Structure directive
SUB      Instruction
SUB4S    NEC Instruction
SUBTTL   Ignored, compatibility
                                                             16-8

T        Tbyte specifier
TBYTE    Memory specifier
TEST     Instruction
TESTBIT  NEC Instruction
THIS     This-location specifier
TITLE    Ignored, compatibility
TYPE     Operator
VERR     286 Prot Instruction
VERW     286 Prot Instruction
W        Word specifier
WAIT     Instruction
WORD     Word specifier
XCHG     Instruction
XLAT     Translate byte
XLATB    Translate byte
XOR      Instruction/operator


